OrderID,CustomerID,FirstName,LastName,State,City,OrderDate,OrderSeason,OrderDayOfWeek,ProductCategory,ProductSubCategory,UnitPrice,Quantity,TotalAmount,DiscountPercent,DiscountAmount,FinalAmount,PaymentMethod,DeviceType,MembershipTier,ShippingDays,Returned,ReviewScore
ORD-010013,CUST-05400,Jennifer,Green,KS,Fairview,8/21/2022,Summer,Sunday,Electronics,Smartphones,174.46,1,174.46,0,0.0,174.46,Buy Now Pay Later,Mobile,Silver,4,No,4
ORD-010014,CUST-08979,David,Adams,WI,Clinton,2/24/2023,Winter,Friday,Clothing,Footwear,185.07,1,185.07,0,0.0,185.07,Buy Now Pay Later,Mobile,Bronze,4,No,5
ORD-010015,CUST-01742,Ruth,Carter,MD,Greenville,12/6/2022,Winter,Tuesday,Health & Wellness,Vitamins,125.38,1,125.38,10,12.54,112.84,PayPal,Mobile,Platinum,1,No,4
ORD-010016,CUST-04990,William,Martin,CA,Sacramento,5/3/2022,Spring,Tuesday,Sports & Outdoors,Cycling,321.18,1,321.18,20,64.24,256.94,Gift Card,Desktop,Platinum,4,No,3
ORD-010017,CUST-01951,Paul,Mitchell,SD,Salem,3/14/2022,Spring,Monday,Clothing,Footwear,71.07,1,71.07,15,10.66,60.41,Debit Card,Mobile,Silver,7,Yes,4
ORD-010018,CUST-08464,Ronald,Hall,DE,Springfield,2/27/2023,Winter,Monday,Toys & Games,Educational,103.18,1,103.18,0,0.0,103.18,Gift Card,Mobile,Bronze,3,No,2
ORD-010019,CUST-06300,Lisa,Perez,UT,Georgetown,1/15/2024,Winter,Monday,Beauty & Personal Care,Skincare,88.68,1,88.68,0,0.0,88.68,PayPal,Desktop,Silver,3,No,5
ORD-010020,CUST-05931,Matthew,King,ND,Madison,3/31/2022,Spring,Thursday,Clothing,Footwear,76.65,1,76.65,0,0.0,76.65,PayPal,Mobile,Silver,5,No,5
ORD-010021,CUST-03073,Sarah,Green,NH,Georgetown,7/27/2023,Summer,Thursday,Sports & Outdoors,Camping Gear,34.79,1,34.79,0,0.0,34.79,Google Pay,Desktop,Platinum,2,No,5
ORD-010022,CUST-06921,Paul,Johnson,NE,Clinton,9/11/2022,Fall,Sunday,Health & Wellness,Mental Wellness,79.43,1,79.43,15,11.91,67.52,Credit Card,Tablet,Gold,4,No,5
ORD-010023,CUST-04172,John,Adams,VT,Madison,8/3/2024,Summer,Saturday,Grocery,Bakery,25.13,1,25.13,10,2.51,22.62,Apple Pay,Tablet,Silver,2,No,3
ORD-010024,CUST-04618,George,Lewis,AR,Georgetown,1/21/2023,Winter,Saturday,Beauty & Personal Care,Makeup,11.43,1,11.43,0,0.0,11.43,Credit Card,Tablet,Platinum,2,No,4
ORD-010025,CUST-04406,Sarah,Jackson,WY,Madison,2/1/2023,Winter,Wednesday,Beauty & Personal Care,Haircare,66.7,2,133.4,5,6.67,126.73,Buy Now Pay Later,Tablet,Silver,2,No,4
ORD-010026,CUST-04517,Timothy,Davis,OK,Clinton,11/28/2022,Fall,Monday,Health & Wellness,Supplements,118.07,1,118.07,0,0.0,118.07,Apple Pay,Desktop,Silver,6,Yes,4
ORD-010027,CUST-02962,Patricia,King,KS,Bristol,9/14/2022,Fall,Wednesday,Sports & Outdoors,Team Sports,190.28,1,190.28,0,0.0,190.28,Apple Pay,Mobile,Gold,1,No,2
ORD-010028,CUST-06450,Edward,Nelson,ID,Fairview,12/21/2024,Winter,Saturday,Sports & Outdoors,Camping Gear,414.05,3,1242.15,10,124.22,1117.93,Buy Now Pay Later,Desktop,Bronze,3,No,4
ORD-010029,CUST-05953,Karen,Sanchez,OR,Georgetown,4/29/2022,Spring,Friday,Clothing,Accessories,39.31,1,39.31,15,5.9,33.41,Credit Card,Desktop,Silver,4,No,4
ORD-010030,CUST-01669,Andrew,Brown,WA,Tacoma,4/13/2024,Spring,Saturday,Electronics,Cameras,1033.88,1,1033.88,0,0.0,1033.88,PayPal,Mobile,Gold,2,No,4
ORD-010031,CUST-02069,George,Williams,SD,Clinton,1/28/2023,Winter,Saturday,Clothing,Tops,30.0,1,30.0,0,0.0,30.0,PayPal,Tablet,Silver,5,No,3
ORD-010032,CUST-04124,John,Phillips,NY,Albany,12/3/2024,Winter,Tuesday,Books,Science,24.95,1,24.95,0,0.0,24.95,PayPal,Tablet,Silver,4,No,5
ORD-010033,CUST-06099,George,Clark,RI,Bristol,5/5/2023,Spring,Friday,Clothing,Bottoms,95.55,1,95.55,15,14.33,81.22,Apple Pay,Tablet,Gold,3,No,4
ORD-010034,CUST-04093,Kimberly,Taylor,NJ,Springfield,1/22/2024,Winter,Monday,Home & Kitchen,Decor,226.97,1,226.97,0,0.0,226.97,Debit Card,Desktop,Gold,2,No,5
ORD-010035,CUST-07957,Jennifer,Mitchell,ND,Clinton,6/10/2024,Summer,Monday,Clothing,Tops,171.34,5,856.7,0,0.0,856.7,Gift Card,Mobile,Silver,3,No,4
ORD-010036,CUST-05080,Susan,Clark,VA,Clinton,11/20/2023,Fall,Monday,Clothing,Footwear,107.72,2,215.44,0,0.0,215.44,Debit Card,Desktop,Silver,3,No,4
ORD-010037,CUST-04791,Timothy,Lewis,NY,Albany,4/30/2022,Spring,Saturday,Home & Kitchen,Appliances,269.9,1,269.9,0,0.0,269.9,Credit Card,Mobile,Bronze,6,No,4
ORD-010038,CUST-05558,Mary,Jones,VT,Clinton,7/18/2022,Summer,Monday,Home & Kitchen,Cookware,18.9,1,18.9,10,1.89,17.01,Buy Now Pay Later,Desktop,Platinum,1,No,5
ORD-010039,CUST-08921,Linda,Brown,GA,Augusta,11/30/2024,Fall,Saturday,Sports & Outdoors,Water Sports,469.51,1,469.51,15,70.43,399.08,Gift Card,Tablet,Gold,3,No,5
ORD-010040,CUST-08750,Thomas,Jones,OR,Springfield,6/14/2022,Summer,Tuesday,Sports & Outdoors,Cycling,46.76,1,46.76,0,0.0,46.76,PayPal,Mobile,Platinum,3,No,4
ORD-010041,CUST-02310,Steven,Mitchell,HI,Clinton,8/25/2022,Summer,Thursday,Home & Kitchen,Decor,49.63,1,49.63,0,0.0,49.63,Google Pay,Mobile,Bronze,2,No,4
ORD-010042,CUST-04826,Karen,Robinson,MD,Clinton,1/10/2025,Winter,Friday,Clothing,Accessories,116.47,1,116.47,0,0.0,116.47,Credit Card,Mobile,Bronze,3,No,5
ORD-010043,CUST-08099,John,Sanchez,MS,Greenville,4/23/2023,Spring,Sunday,Beauty & Personal Care,Haircare,40.01,2,80.02,10,8.0,72.02,Apple Pay,Mobile,Gold,5,No,5
ORD-010044,CUST-05377,Sharon,Brown,GA,Augusta,2/25/2023,Winter,Saturday,Books,Self-Help,40.81,1,40.81,20,8.16,32.65,Apple Pay,Mobile,Gold,2,No,3
ORD-010045,CUST-03864,Lisa,Hall,PA,Allentown,11/13/2023,Fall,Monday,Electronics,Tablets,1203.12,2,2406.24,0,0.0,2406.24,Gift Card,Tablet,Platinum,4,No,5
ORD-010046,CUST-02612,Kenneth,Young,MI,Madison,3/30/2024,Spring,Saturday,Beauty & Personal Care,Fragrances,63.0,3,189.0,0,0.0,189.0,Credit Card,Mobile,Bronze,5,No,5
ORD-010047,CUST-01951,Laura,Allen,KS,Clinton,9/17/2022,Fall,Saturday,Grocery,Bakery,28.17,1,28.17,20,5.63,22.54,PayPal,Tablet,Gold,6,No,5
ORD-010048,CUST-03668,Mary,Jackson,MI,Salem,7/28/2022,Summer,Thursday,Toys & Games,Puzzles,90.42,1,90.42,15,13.56,76.86,Debit Card,Tablet,Silver,2,No,4
ORD-010049,CUST-07329,George,Jackson,NE,Springfield,3/8/2023,Spring,Wednesday,Clothing,Bottoms,70.48,3,211.44,15,31.72,179.72,Google Pay,Mobile,Gold,6,No,4
ORD-010050,CUST-08566,Edward,King,SC,Springfield,11/1/2023,Fall,Wednesday,Beauty & Personal Care,Makeup,89.22,1,89.22,0,0.0,89.22,Credit Card,Mobile,Platinum,5,No,4
ORD-010051,CUST-01159,Sarah,Miller,NY,Buffalo,4/16/2023,Spring,Sunday,Beauty & Personal Care,Fragrances,35.87,2,71.74,0,0.0,71.74,Credit Card,Desktop,Gold,4,No,5
ORD-010052,CUST-06481,Ronald,Perez,IA,Clinton,10/11/2023,Fall,Wednesday,Grocery,Organic,2.44,1,2.44,20,0.49,1.95,PayPal,Tablet,Bronze,5,No,4
ORD-010053,CUST-01070,Daniel,Jones,OR,Fairview,3/28/2022,Spring,Monday,Automotive,Car Accessories,183.57,2,367.14,0,0.0,367.14,Apple Pay,Desktop,Bronze,4,No,4
ORD-010054,CUST-04611,David,Taylor,LA,Greenville,4/12/2023,Spring,Wednesday,Health & Wellness,Fitness Accessories,85.32,1,85.32,20,17.06,68.26,Google Pay,Desktop,Gold,3,No,4
ORD-010055,CUST-04280,Jason,Johnson,MN,Georgetown,6/12/2024,Summer,Wednesday,Sports & Outdoors,Cycling,364.89,5,1824.45,25,456.11,1368.34,Buy Now Pay Later,Tablet,Gold,4,No,3
ORD-010056,CUST-06060,Kimberly,White,AK,Springfield,12/2/2024,Winter,Monday,Home & Kitchen,Storage,221.63,1,221.63,0,0.0,221.63,Google Pay,Tablet,Bronze,5,No,3
ORD-010057,CUST-05175,Anthony,Wright,ID,Bristol,1/24/2023,Winter,Tuesday,Toys & Games,Action Figures,96.76,1,96.76,0,0.0,96.76,Buy Now Pay Later,Desktop,Gold,4,No,5
ORD-010058,CUST-01709,Michelle,Clark,MA,Salem,2/1/2022,Winter,Tuesday,Books,Science,44.82,1,44.82,0,0.0,44.82,Google Pay,Mobile,Silver,4,No,4
ORD-010059,CUST-01227,Michelle,Brown,KY,Clinton,2/7/2023,Winter,Tuesday,Beauty & Personal Care,Fragrances,18.94,1,18.94,0,0.0,18.94,Google Pay,Desktop,Bronze,4,No,5
ORD-010060,CUST-07953,Michael,Johnson,RI,Springfield,12/6/2022,Winter,Tuesday,Toys & Games,Action Figures,64.8,2,129.6,5,6.48,123.12,Debit Card,Desktop,Bronze,4,No,5
ORD-010061,CUST-01125,Emily,Thompson,SC,Madison,9/16/2022,Fall,Friday,Beauty & Personal Care,Makeup,12.14,1,12.14,10,1.21,10.93,PayPal,Mobile,Bronze,2,No,5
ORD-010062,CUST-01174,Mark,Garcia,UT,Madison,5/17/2024,Spring,Friday,Toys & Games,Puzzles,135.87,2,271.74,20,54.35,217.39,Buy Now Pay Later,Tablet,Gold,2,No,4
ORD-010063,CUST-02510,Jason,Nelson,KY,Springfield,5/14/2022,Spring,Saturday,Home & Kitchen,Appliances,384.09,1,384.09,0,0.0,384.09,Gift Card,Desktop,Silver,5,No,4
ORD-010064,CUST-03623,Brian,King,NC,Greensboro,5/22/2023,Spring,Monday,Health & Wellness,Mental Wellness,93.52,2,187.04,10,18.7,168.34,Buy Now Pay Later,Desktop,Platinum,3,No,4
ORD-010065,CUST-01857,Kevin,Brown,TX,Houston,3/1/2022,Spring,Tuesday,Automotive,Car Accessories,117.88,3,353.64,20,70.73,282.91,Buy Now Pay Later,Tablet,Silver,4,No,5
ORD-010066,CUST-03431,Sharon,Campbell,RI,Clinton,3/20/2022,Spring,Sunday,Sports & Outdoors,Team Sports,149.25,1,149.25,20,29.85,119.4,Apple Pay,Tablet,Gold,2,Yes,5
ORD-010067,CUST-08362,Ashley,Miller,IL,Joliet,8/1/2024,Summer,Thursday,Sports & Outdoors,Water Sports,143.99,1,143.99,0,0.0,143.99,Debit Card,Tablet,Silver,4,No,4
ORD-010068,CUST-08837,Ronald,Lewis,AZ,Springfield,1/13/2023,Winter,Friday,Electronics,Headphones,456.64,3,1369.92,0,0.0,1369.92,Debit Card,Tablet,Platinum,1,No,5
ORD-010069,CUST-08471,Joshua,Jones,KY,Greenville,12/3/2024,Winter,Tuesday,Automotive,Parts,164.17,2,328.34,0,0.0,328.34,PayPal,Desktop,Gold,1,No,4
ORD-010070,CUST-02111,Nancy,Allen,ND,Greenville,9/25/2023,Fall,Monday,Beauty & Personal Care,Skincare,82.56,1,82.56,10,8.26,74.3,Apple Pay,Desktop,Bronze,1,No,3
ORD-010071,CUST-03194,Andrew,Thompson,IN,Springfield,2/20/2022,Winter,Sunday,Health & Wellness,Vitamins,47.58,1,47.58,0,0.0,47.58,Apple Pay,Mobile,Silver,5,No,2
ORD-010072,CUST-06700,Ruth,Miller,GA,Augusta,7/4/2022,Summer,Monday,Health & Wellness,Mental Wellness,35.9,2,71.8,0,0.0,71.8,Google Pay,Desktop,Gold,3,No,5
ORD-010073,CUST-03968,Nancy,Robinson,AL,Georgetown,12/1/2022,Winter,Thursday,Clothing,Accessories,137.08,1,137.08,5,6.85,130.23,Debit Card,Mobile,Bronze,5,No,3
ORD-010074,CUST-05002,Margaret,Lewis,RI,Springfield,11/23/2024,Fall,Saturday,Books,Self-Help,45.34,3,136.02,0,0.0,136.02,PayPal,Desktop,Bronze,2,No,4
ORD-010075,CUST-03275,Kenneth,Anderson,ID,Springfield,3/19/2022,Spring,Saturday,Clothing,Footwear,81.29,1,81.29,0,0.0,81.29,Credit Card,Desktop,Platinum,3,No,5
ORD-010076,CUST-08961,Daniel,Thomas,IL,Chicago,3/12/2024,Spring,Tuesday,Automotive,Tools,102.08,1,102.08,0,0.0,102.08,Debit Card,Tablet,Platinum,5,No,3
ORD-010077,CUST-05616,Kenneth,Johnson,CA,Los Angeles,7/3/2023,Summer,Monday,Clothing,Footwear,126.04,5,630.2,0,0.0,630.2,PayPal,Desktop,Bronze,3,No,2
ORD-010078,CUST-04296,Ronald,Green,NC,Greensboro,8/1/2024,Summer,Thursday,Clothing,Outerwear,180.77,2,361.54,25,90.38,271.16,PayPal,Mobile,Bronze,4,No,4
ORD-010079,CUST-08769,Mary,Green,CO,Madison,4/27/2022,Spring,Wednesday,Sports & Outdoors,Water Sports,232.43,1,232.43,5,11.62,220.81,Gift Card,Tablet,Platinum,4,No,5
ORD-010080,CUST-05375,Michael,White,MS,Bristol,8/19/2024,Summer,Monday,Books,Science,30.39,2,60.78,5,3.04,57.74,Credit Card,Tablet,Silver,5,No,4
ORD-010081,CUST-03986,Andrew,Miller,VA,Bristol,5/2/2023,Spring,Tuesday,Beauty & Personal Care,Haircare,86.92,1,86.92,15,13.04,73.88,Credit Card,Tablet,Gold,7,No,4
ORD-010082,CUST-03332,Sarah,Williams,SC,Greenville,3/14/2022,Spring,Monday,Automotive,Electronics,77.08,1,77.08,10,7.71,69.37,Gift Card,Desktop,Bronze,7,No,2
ORD-010083,CUST-02820,Patricia,Mitchell,NH,Clinton,4/2/2024,Spring,Tuesday,Automotive,Parts,251.46,2,502.92,5,25.15,477.77,Google Pay,Desktop,Gold,2,No,2
ORD-010084,CUST-05299,Donald,Johnson,PA,Erie,1/16/2022,Winter,Sunday,Books,History,16.12,1,16.12,20,3.22,12.9,Apple Pay,Desktop,Platinum,3,No,5
ORD-010085,CUST-03888,Mark,Harris,CT,Fairview,4/9/2023,Spring,Sunday,Toys & Games,Action Figures,83.79,1,83.79,0,0.0,83.79,Buy Now Pay Later,Tablet,Platinum,4,No,5
ORD-010086,CUST-03016,Jessica,Wilson,RI,Greenville,1/27/2025,Winter,Monday,Clothing,Tops,18.34,1,18.34,10,1.83,16.51,Buy Now Pay Later,Mobile,Bronze,6,No,4
ORD-010087,CUST-08870,Margaret,Brown,CA,San Francisco,9/5/2023,Fall,Tuesday,Home & Kitchen,Bedding,263.98,3,791.94,0,0.0,791.94,Buy Now Pay Later,Tablet,Silver,3,No,5
ORD-010088,CUST-07460,George,Sanchez,IN,Bristol,9/26/2024,Fall,Thursday,Sports & Outdoors,Camping Gear,324.44,2,648.88,5,32.44,616.44,Gift Card,Desktop,Gold,7,No,4
ORD-010089,CUST-03790,Matthew,Jones,MS,Springfield,2/9/2023,Winter,Thursday,Health & Wellness,Fitness Accessories,57.37,1,57.37,0,0.0,57.37,Apple Pay,Desktop,Gold,4,No,5
ORD-010090,CUST-06599,Patricia,Thomas,MT,Greenville,1/30/2023,Winter,Monday,Toys & Games,Educational,123.72,1,123.72,0,0.0,123.72,Apple Pay,Mobile,Silver,3,No,4
ORD-010091,CUST-04889,Dorothy,Jones,WV,Clinton,11/6/2023,Fall,Monday,Books,Fiction,25.09,1,25.09,10,2.51,22.58,Gift Card,Desktop,Bronze,5,No,4
ORD-010092,CUST-07716,Robert,Carter,DE,Georgetown,1/18/2023,Winter,Wednesday,Beauty & Personal Care,Makeup,79.77,2,159.54,0,0.0,159.54,Debit Card,Tablet,Bronze,5,No,5
ORD-010093,CUST-07340,Amanda,Carter,NY,Albany,4/28/2023,Spring,Friday,Automotive,Tools,175.37,3,526.11,0,0.0,526.11,Google Pay,Tablet,Silver,2,No,4
ORD-010094,CUST-01723,Sandra,Perez,UT,Georgetown,3/8/2022,Spring,Tuesday,Sports & Outdoors,Team Sports,336.07,1,336.07,20,67.21,268.86,Gift Card,Mobile,Bronze,5,No,5
ORD-010095,CUST-01306,Donald,Nelson,UT,Springfield,7/22/2023,Summer,Saturday,Sports & Outdoors,Water Sports,91.66,2,183.32,0,0.0,183.32,PayPal,Mobile,Silver,3,No,5
ORD-010096,CUST-01409,William,Jackson,IN,Greenville,1/2/2023,Winter,Monday,Automotive,Car Care,142.1,1,142.1,0,0.0,142.1,Debit Card,Desktop,Gold,2,No,4
ORD-010097,CUST-08091,James,Wright,WY,Fairview,4/9/2024,Spring,Tuesday,Books,Science,34.44,2,68.88,0,0.0,68.88,PayPal,Desktop,Bronze,6,No,2
ORD-010098,CUST-06610,James,Thomas,NM,Fairview,4/30/2024,Spring,Tuesday,Home & Kitchen,Bedding,298.01,1,298.01,0,0.0,298.01,Credit Card,Mobile,Silver,5,No,3
ORD-010099,CUST-07212,Michelle,Brown,AL,Greenville,5/25/2022,Spring,Wednesday,Automotive,Tools,237.48,1,237.48,0,0.0,237.48,Debit Card,Desktop,Silver,4,No,5
ORD-010100,CUST-07856,Donald,Scott,FL,Orlando,5/23/2022,Spring,Monday,Beauty & Personal Care,Haircare,62.56,1,62.56,10,6.26,56.3,PayPal,Tablet,Platinum,2,No,4
ORD-010101,CUST-02878,Mark,Baker,LA,Madison,7/22/2022,Summer,Friday,Grocery,Snacks,49.07,1,49.07,15,7.36,41.71,Google Pay,Tablet,Bronze,2,No,5
ORD-010102,CUST-04854,Barbara,Roberts,HI,Salem,8/28/2024,Summer,Wednesday,Home & Kitchen,Storage,316.19,1,316.19,0,0.0,316.19,Google Pay,Mobile,Silver,6,No,5
ORD-010103,CUST-03704,George,Nelson,DE,Bristol,2/3/2025,Winter,Monday,Grocery,Dairy,43.12,1,43.12,10,4.31,38.81,PayPal,Mobile,Bronze,5,No,4
ORD-010104,CUST-02694,Joshua,Martin,AR,Bristol,6/21/2023,Summer,Wednesday,Clothing,Footwear,29.2,1,29.2,0,0.0,29.2,Buy Now Pay Later,Desktop,Platinum,3,No,4
ORD-010105,CUST-02477,Linda,Jones,MO,Clinton,3/13/2024,Spring,Wednesday,Health & Wellness,Mental Wellness,82.13,1,82.13,0,0.0,82.13,Gift Card,Desktop,Bronze,3,No,4
ORD-010106,CUST-07278,Amanda,Turner,AR,Bristol,3/7/2022,Spring,Monday,Toys & Games,Puzzles,65.01,1,65.01,0,0.0,65.01,Credit Card,Mobile,Silver,1,No,4
ORD-010107,CUST-01296,Sarah,Lewis,AK,Clinton,10/3/2022,Fall,Monday,Automotive,Car Care,68.42,2,136.84,0,0.0,136.84,Credit Card,Desktop,Platinum,3,No,5
ORD-010108,CUST-08642,Joshua,Nelson,NE,Springfield,12/15/2024,Winter,Sunday,Beauty & Personal Care,Fragrances,15.51,1,15.51,25,3.88,11.63,Buy Now Pay Later,Mobile,Silver,3,No,3
ORD-010109,CUST-02678,Paul,Sanchez,KS,Salem,9/13/2023,Fall,Wednesday,Toys & Games,Outdoor Toys,75.78,2,151.56,0,0.0,151.56,Apple Pay,Mobile,Silver,4,No,5
ORD-010110,CUST-07681,Andrew,Young,UT,Georgetown,7/19/2022,Summer,Tuesday,Beauty & Personal Care,Haircare,84.69,1,84.69,0,0.0,84.69,PayPal,Tablet,Platinum,4,No,5
ORD-010111,CUST-04837,Dorothy,Nelson,IN,Greenville,7/9/2024,Summer,Tuesday,Automotive,Parts,46.39,1,46.39,10,4.64,41.75,Credit Card,Desktop,Platinum,3,No,3
ORD-010112,CUST-06993,Amanda,Robinson,MT,Springfield,3/20/2023,Spring,Monday,Clothing,Bottoms,95.27,1,95.27,0,0.0,95.27,Gift Card,Tablet,Bronze,7,No,4
ORD-010113,CUST-08111,Emily,Roberts,FL,Miami,1/12/2023,Winter,Thursday,Sports & Outdoors,Water Sports,222.68,1,222.68,15,33.4,189.28,Credit Card,Mobile,Gold,3,No,5
ORD-010114,CUST-03034,Ronald,White,NJ,Georgetown,3/21/2022,Spring,Monday,Toys & Games,Action Figures,38.52,1,38.52,0,0.0,38.52,Buy Now Pay Later,Tablet,Bronze,3,No,4
ORD-010115,CUST-06343,Mary,King,CT,Fairview,2/28/2022,Winter,Monday,Home & Kitchen,Cookware,84.22,1,84.22,0,0.0,84.22,Buy Now Pay Later,Tablet,Gold,3,No,5
ORD-010116,CUST-07977,Matthew,Clark,OK,Salem,11/6/2024,Fall,Wednesday,Grocery,Organic,15.08,1,15.08,5,0.75,14.33,Buy Now Pay Later,Tablet,Silver,5,No,3
ORD-010117,CUST-02016,Michelle,Allen,AR,Georgetown,2/12/2023,Winter,Sunday,Sports & Outdoors,Water Sports,200.73,1,200.73,0,0.0,200.73,Apple Pay,Desktop,Bronze,1,No,5
ORD-010118,CUST-08732,Michael,Thomas,IL,Naperville,12/1/2023,Winter,Friday,Toys & Games,Puzzles,126.58,1,126.58,10,12.66,113.92,Buy Now Pay Later,Tablet,Silver,5,No,5
ORD-010119,CUST-01628,Matthew,Taylor,NJ,Greenville,7/30/2022,Summer,Saturday,Home & Kitchen,Bedding,33.61,1,33.61,0,0.0,33.61,Credit Card,Tablet,Bronze,1,No,5
ORD-010120,CUST-03878,Karen,Thomas,TX,Dallas,9/1/2023,Fall,Friday,Grocery,Dairy,21.49,1,21.49,15,3.22,18.27,Google Pay,Desktop,Silver,1,No,5
ORD-010121,CUST-01092,Jessica,King,NJ,Springfield,8/26/2023,Summer,Saturday,Electronics,Laptops,587.15,2,1174.3,0,0.0,1174.3,Apple Pay,Desktop,Bronze,3,No,2
ORD-010122,CUST-03717,Carol,Jones,SC,Springfield,4/5/2022,Spring,Tuesday,Sports & Outdoors,Camping Gear,289.7,1,289.7,0,0.0,289.7,Google Pay,Mobile,Gold,3,No,5
ORD-010123,CUST-01538,Margaret,Taylor,GA,Augusta,6/3/2022,Summer,Friday,Health & Wellness,Fitness Accessories,6.98,1,6.98,15,1.05,5.93,Google Pay,Desktop,Platinum,3,No,4
ORD-010124,CUST-07796,Nancy,Davis,PA,Pittsburgh,9/20/2023,Fall,Wednesday,Sports & Outdoors,Camping Gear,369.69,2,739.38,0,0.0,739.38,Gift Card,Mobile,Gold,1,No,5
ORD-010125,CUST-05654,Karen,Roberts,IL,Aurora,9/8/2022,Fall,Thursday,Grocery,Snacks,41.81,2,83.62,5,4.18,79.44,Buy Now Pay Later,Mobile,Gold,4,No,4
ORD-010126,CUST-02227,Donald,Smith,AL,Salem,2/18/2023,Winter,Saturday,Home & Kitchen,Cookware,255.89,1,255.89,0,0.0,255.89,Apple Pay,Mobile,Bronze,5,No,3
ORD-010127,CUST-03598,Brian,Green,MO,Bristol,10/20/2023,Fall,Friday,Books,Fiction,38.58,1,38.58,0,0.0,38.58,Credit Card,Desktop,Platinum,5,No,4
ORD-010128,CUST-04101,Donald,Green,VT,Georgetown,1/8/2023,Winter,Sunday,Electronics,Tablets,165.37,3,496.11,0,0.0,496.11,Credit Card,Mobile,Platinum,1,No,5
ORD-010129,CUST-04845,Donald,Lewis,NC,Raleigh,8/22/2022,Summer,Monday,Grocery,Beverages,32.5,1,32.5,0,0.0,32.5,Google Pay,Tablet,Bronze,3,No,5
ORD-010130,CUST-08390,Dorothy,Garcia,MO,Greenville,10/24/2023,Fall,Tuesday,Automotive,Parts,298.46,2,596.92,20,119.38,477.54,Credit Card,Mobile,Gold,3,No,4
ORD-010131,CUST-05314,Kenneth,Turner,NV,Georgetown,4/19/2023,Spring,Wednesday,Automotive,Tools,139.4,1,139.4,0,0.0,139.4,Debit Card,Tablet,Gold,1,No,4
ORD-010132,CUST-04576,Sharon,Adams,DE,Springfield,2/2/2022,Winter,Wednesday,Electronics,Cameras,587.7,1,587.7,15,88.16,499.54,Credit Card,Desktop,Platinum,4,No,4
ORD-010133,CUST-08289,William,Anderson,MD,Bristol,5/30/2023,Spring,Tuesday,Grocery,Organic,10.03,2,20.06,0,0.0,20.06,Google Pay,Desktop,Platinum,3,No,3
ORD-010134,CUST-01163,Dorothy,Johnson,MS,Salem,6/29/2024,Summer,Saturday,Health & Wellness,Mental Wellness,15.37,1,15.37,0,0.0,15.37,Credit Card,Desktop,Gold,2,No,5
